Company/Organization;SUM;Ericsson;Ericsson;Ericsson;Ericsson;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Fraunhofer IIS;Fraunhofer IIS;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Klagenfurt University;Nokia;Nokia;Nokia;panasonic;KDDI;Ericsson;Ericsson;Ericsson;Ericsson;Nokia;Nokia;Nokia;Nokia;Nokia;Nokia;Telecom ParisTech;Telecom ParisTech
hvc1 sample entry; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;x;x;x
hev2 sample entry;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x
hvc2 sample entry;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x
lhe1 sample entry;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
lhv1 sample entry;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
hvt1 sample entry;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
lht1 sample entry;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Extractors;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;X;
Aggregators;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Temporal Meta-data;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Implicit Reconstruction; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sbas track reference; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
scal track reference; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
oinf, linf and oref track reference; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
tbas and sabt track reference; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
